date,account_value
2016-01-04,1000000.0
2016-01-05,1000013.1963640798
2016-01-06,997452.7083466888
2016-01-07,986963.8813136243
2016-01-08,979499.9667959256
2016-01-11,983450.0524285141
2016-01-12,994646.6265160212
2016-01-13,958146.6448477404
2016-01-14,972449.8650181015
2016-01-15,947472.5580766688
2016-01-19,956192.549581243
2016-01-20,952657.1725219828
2016-01-21,957973.6641829584
2016-01-22,983268.4887138022
2016-01-25,974244.4779359206
2016-01-26,983909.5143064199
2016-01-27,967284.2726892629
2016-01-28,994579.6330899388
2016-01-29,1002599.7085383426
2016-02-01,1006073.7862155881
2016-02-02,994312.52098616
2016-02-03,974316.9859780279
2016-02-04,967807.7475540584
2016-02-05,934566.6849812448
2016-02-08,914797.2727221404
2016-02-09,912876.4506944942
2016-02-10,918079.6632250369
2016-02-11,921894.4979577372
2016-02-12,931955.3984742756
2016-02-16,949406.4944690685
2016-02-17,965771.820691222
2016-02-18,956601.5650107659
2016-02-19,963783.976682632
2016-02-22,977963.5531625436
2016-02-23,967282.8203705346
2016-02-24,975203.5333800131
2016-02-25,984813.8893040294
2016-02-26,981534.349502758
2016-02-29,972016.8778619586
2016-03-01,1002545.5079962629
2016-03-02,1002570.1908740728
2016-03-03,998670.6939464888
2016-03-04,997999.2881286542
2016-03-07,989251.8480992822
2016-03-08,984461.204082018
2016-03-09,988635.4489416505
2016-03-10,994877.0438249252
2016-03-11,1012440.3680604652
2016-03-14,1015554.040389367
2016-03-15,1012630.2012636764
2016-03-16,1015605.5069579008
2016-03-17,1014915.5706835274
2016-03-18,1016538.1028258756
2016-03-21,1018074.7279332805
2016-03-22,1021322.8946850582
2016-03-23,1019701.3074504646
2016-03-24,1021775.8700149556
2016-03-28,1019036.7725816631
2016-03-29,1033543.4525272277
2016-03-30,1044303.3530666234
2016-03-31,1040060.511655158
2016-04-01,1049760.211399283
2016-04-04,1042847.2114820064
2016-04-05,1044584.4339613756
2016-04-06,1032888.7587919914
2016-04-07,1035108.6389106488
2016-04-08,1030106.4344251396
2016-04-11,1037465.1257602014
2016-04-12,1050128.635984769
2016-04-13,1052380.9463592176
2016-04-14,1054950.086113033
2016-04-15,1065572.0750289282
2016-04-18,1061014.4817982595
2016-04-19,1062272.952751103
2016-04-20,1058199.3940186838
2016-04-21,1040318.0263437808
2016-04-22,1043485.9925460996
2016-04-25,1039356.5925753979
2016-04-26,1036443.3647871108
2016-04-27,1020112.4458996345
2016-04-28,1031283.4200543652
2016-04-29,1044481.8169768635
2016-05-02,1035870.7900537931
2016-05-03,1033819.0016815049
2016-05-04,1030653.599677698
2016-05-05,1042958.5178594092
2016-05-06,1048296.1049605116
2016-05-09,1063698.1034912057
2016-05-10,1054178.8931674077
2016-05-11,1053365.8708958996
2016-05-12,1044919.1453197274
2016-05-13,1053484.2675376034
2016-05-16,1038753.1895266068
2016-05-17,1040950.180031808
2016-05-18,1038486.666204506
2016-05-19,1049294.3686667972
2016-05-20,1042855.5228612308
2016-05-23,1062043.3668312973
2016-05-24,1069460.6114781774
2016-05-25,1070661.2403588728
2016-05-26,1078119.078993757
2016-05-27,1080782.4565420898
2016-05-31,1079589.87732648
2016-06-01,1082404.1615641972
2016-06-02,1075058.2142911174
2016-06-03,1074108.690502623
2016-06-06,1074537.2359149277
2016-06-07,1084182.9802212885
2016-06-08,1084135.71742646
2016-06-09,1069804.9038134571
2016-06-10,1064949.287615656
2016-06-13,1066408.3196322294
2016-06-14,1065574.9466426622
2016-06-15,1064826.2863103836
2016-06-16,1052578.5916175991
2016-06-17,1061395.405181808
2016-06-20,1063357.430562674
2016-06-21,1062772.929689177
2016-06-22,1074707.3386477258
2016-06-23,1039028.8616380022
2016-06-24,1024781.4849350477
2016-06-27,1044761.2056477657
2016-06-28,1058130.6648532941
2016-06-29,1069625.8108565526
2016-06-30,1076363.0363575
2016-07-01,1079918.8883312724
2016-07-05,1079891.9840412992
2016-07-06,1098243.755858535
2016-07-07,1104337.750956475
2016-07-08,1106686.9421732076
2016-07-11,1103998.6619048843
2016-07-12,1106257.810313127
2016-07-13,1102825.4160091446
2016-07-14,1107006.0044568956
2016-07-15,1107909.9984645357
2016-07-18,1116453.239193101
2016-07-19,1113878.588426293
2016-07-20,1122313.4389554085
2016-07-21,1123662.9181179022
2016-07-22,1123947.2678281958
2016-07-25,1122610.9662139355
2016-07-26,1131708.9030557098
2016-07-27,1143108.0361799505
2016-07-28,1146828.0149364849
2016-07-29,1141455.947788487
2016-08-01,1142552.7037708114
2016-08-02,1145538.166827319
2016-08-03,1156107.0164018848
2016-08-04,1152564.863105031
2016-08-05,1154028.6163244913
2016-08-08,1153902.666100157
2016-08-09,1158328.043617923
2016-08-10,1158683.670007545
2016-08-11,1160945.6165902882
2016-08-12,1153234.8083230564
2016-08-15,1155466.7909576104
2016-08-16,1156859.711664813
2016-08-17,1156905.3148169774
2016-08-18,1155047.9619753843
2016-08-19,1157034.91754322
2016-08-22,1150908.5149320094
2016-08-23,1150938.560303009
2016-08-24,1149879.965724399
2016-08-25,1153348.7840126518
2016-08-26,1148479.7983228795
2016-08-29,1146985.4827178577
2016-08-30,1151122.1025998315
2016-08-31,1149407.9831565048
2016-09-01,1157676.296569734
2016-09-02,1155234.30993362
2016-09-06,1150134.8275148668
2016-09-07,1121323.0276500098
2016-09-08,1138039.7623026995
2016-09-09,1124045.0724948763
2016-09-12,1125649.0434340509
2016-09-13,1137881.156702841
2016-09-14,1135426.592286145
2016-09-15,1134979.8639866505
2016-09-16,1139866.0205587584
2016-09-19,1149405.411947073
2016-09-20,1161157.9000928248
2016-09-21,1156894.9841369952
2016-09-22,1146157.4158188165
2016-09-23,1157633.4027773454
2016-09-26,1157405.6296710966
2016-09-27,1155941.681941046
2016-09-28,1162721.904162289
2016-09-29,1155353.122924635
2016-09-30,1158870.3851766265
2016-10-03,1158640.1612050321
2016-10-04,1154976.348242208
2016-10-05,1161109.0963475322
2016-10-06,1147791.312869843
2016-10-07,1150419.593052276
2016-10-10,1145727.2443362277
2016-10-11,1143797.185186672
2016-10-12,1137938.128086515
2016-10-13,1149016.0497268834
2016-10-14,1150950.995895593
2016-10-17,1147345.0975508974
2016-10-18,1148299.1649849876
2016-10-19,1164490.3666705491
2016-10-20,1159001.1662739094
2016-10-21,1149950.2355529692
2016-10-24,1136020.5297909551
2016-10-25,1127433.846421085
2016-10-26,1127779.752412227
2016-10-27,1122880.3398745987
2016-10-28,1106877.6071042472
2016-10-31,1099460.2756577076
2016-11-01,1095252.567668591
2016-11-02,1118634.8525362092
2016-11-03,1125843.5682382665
2016-11-04,1123119.444610147
2016-11-07,1102802.7213972649
2016-11-08,1104259.529612248
2016-11-09,1091085.8058156285
2016-11-10,1112384.463323263
2016-11-11,1117882.4665405885
2016-11-14,1128361.202482336
2016-11-15,1120963.7068330557
2016-11-16,1135322.6224877941
2016-11-17,1141683.7714001713
2016-11-18,1138500.993491908
2016-11-21,1141818.6974380834
2016-11-22,1138511.754574246
2016-11-23,1140017.9886709582
2016-11-25,1127476.6492510356
2016-11-28,1112251.276040268
2016-11-29,1115314.0795313679
2016-11-30,1130058.948391237
2016-12-01,1133108.7587721832
2016-12-02,1150305.6279908023
2016-12-05,1153497.1017101768
2016-12-06,1158594.4935847684
2016-12-07,1157675.8910523774
2016-12-08,1169784.6943621377
2016-12-09,1163111.098674762
2016-12-12,1163120.989287261
2016-12-13,1158375.9964690793
2016-12-14,1163511.701739753
2016-12-15,1167280.0807666192
2016-12-16,1166543.0765382906
2016-12-19,1161411.4405933374
2016-12-20,1160351.334123472
2016-12-21,1166359.0661547931
2016-12-22,1157053.0687683695
2016-12-23,1155182.2259157784
2016-12-27,1142034.355253247
2016-12-28,1161051.506992355
2016-12-29,1169269.1970189456
2016-12-30,1178744.2946418016
2017-01-03,1176703.7400147165
2017-01-04,1180085.880249152
2017-01-05,1184071.3409129984
2017-01-06,1185074.1565122814
2017-01-09,1190819.9301200935
2017-01-10,1183851.1480743142
2017-01-11,1185453.9943620989
2017-01-12,1176964.795141877
2017-01-13,1177437.0696421354
2017-01-17,1175474.7500655036
2017-01-18,1183491.0711362346
2017-01-19,1196418.361568859
2017-01-20,1189653.003663838
2017-01-23,1187858.8882498206
2017-01-24,1174583.3614990627
2017-01-25,1172433.0205392558
2017-01-26,1170093.8811843
2017-01-27,1178284.0242434505
2017-01-30,1179467.6123258118
2017-01-31,1177547.140224824
2017-02-01,1184601.325084567
2017-02-02,1191507.1699673736
