,0
0,16410.766108470038
1,14637.244973287918
2,-2137.1463997419924
3,-14913.992629755754
4,227.24906201800331
5,-5297.938902599737
6,-11870.009540435858
7,-7275.522407937329
8,-36417.34163887985
9,7880.780626486521
10,8528.96123460494
11,26490.462647709064
12,-42515.52129292395
13,49872.137618433684
14,-8638.532931018155
15,-18067.809119484853
16,-29032.606845411938
17,-25706.549628864974
18,-26031.708414683584
19,-82976.89627770707
20,41538.39488192694
21,5963.324922364671
22,81572.35938457027
23,-21609.94543208182
24,-49108.72624363424
25,46670.295029297005
26,-68337.98843865469
27,1266.4594326899387
28,36835.80861020554
29,19715.069512471557
30,-13665.740144117735
31,22745.85601789644
32,-6114.050579897594
33,-60792.818236222025
34,28279.830160924233
35,-2314.337741488125
36,5366.575751702301
37,32925.121791016776
38,-125.1454219641164
39,-29857.64081633836
40,27593.50717652263
41,35155.9439033973
42,-9890.131034240127
43,-35772.54091307474
44,-6734.520496500656
45,25623.394155074377
46,8472.882396155503
47,-2854.735634704586
48,-11252.518798379693
49,15075.45673181396
50,-3878.4136699740775
51,1176.980924664531
52,-12771.255410836078
53,-5606.598905095365
54,-36045.639341696166
55,31100.040710168425
56,-9348.532406184822
57,-27918.657881313004
58,18253.851875282824
59,-19650.6435596426
60,-34100.40793625824
61,35200.722250730265
