,0
0,1016790.3907983593
1,1016622.3235556484
2,1021838.1969825862
3,1039381.212958186
4,1044593.3928194067
5,1049119.148835272
6,1045068.6742233052
7,1050149.077738051
8,1053089.4547343585
9,1057306.6028032517
10,1048553.3095842752
11,1062710.840110051
12,1058576.6966751604
13,1064608.1673110821
14,1068392.5612304024
15,1076105.9690666364
16,1081439.0241833227
17,1082509.5117764364
18,1084002.345090237
19,1090121.7660153343
20,1087424.3802711004
21,1091819.3493475353
22,1093692.6726923042
23,1111950.0889354027
24,1107980.4060902067
25,1109950.1500458936
26,1102986.1057216865
27,1109699.4021960564
28,1108642.1174479332
29,1117928.6258221366
30,1106827.396458967
31,1107508.9225624946
32,1111062.9326983304
33,1112862.4774868886
34,1116428.865163719
35,1121412.4280026525
36,1107516.8569012776
37,1108286.593626257
38,1110464.829285179
39,1111936.1248286453
40,1110388.477581957
41,1109249.893654522
42,1114835.1105496224
43,1118460.2728412831
44,1123803.974352595
45,1119870.7013086637
46,1117752.3847105154
47,1085911.4988071357
48,1105899.4531261707
49,1088536.4401093582
50,1090717.014425636
51,1108215.7654402072
52,1109402.5675775749
53,1108337.221969005
54,1109741.127506688
55,1121289.668216529
56,1129778.8652392945
57,1122773.708395806
58,1111978.627735933
59,1125082.2147017648
60,1123026.3991991663
61,1112651.2542950744
62,1122255.785612941
