,0
0,1000000.0
1,1001218.7526786467
2,1000631.5597386712
3,1003822.4932855481
4,1004549.9750384793
5,1004818.9915249133
6,1005673.691968142
7,1004388.4194690622
8,1006743.8293293599
9,1008016.6582938902
10,1012256.9094299155
11,1016576.212137731
12,1009170.0377316042
13,1003689.5147577161
14,1000930.6335842935
15,1003578.4525894732
16,1005621.6212138757
17,1006647.1458713473
18,1016441.5493049165
19,996308.0953005657
20,1001381.4735960433
21,1019111.9314928002
22,1019242.9425230258
23,1022553.5038229729
24,1026371.2504963522
25,1028748.0957550313
26,1036254.758873214
27,1039162.162959306
28,1048438.29451422
29,1056550.2295417439
30,1061401.64865986
31,1056368.4090894314
32,1062978.4427726946
33,1065543.3352786019
34,1070217.2467109156
35,1038310.018155826
36,1021253.2286626099
37,1040430.2566053475
38,1052214.6299249218
39,1051886.9105065737
40,1035975.9058147338
41,1041462.80230044
42,1061196.5405485893
43,1061033.7830939677
44,1051104.7107606863
45,1057600.2826756195
46,1053653.9313206659
47,1037084.2531510827
48,1036841.9996785605
49,1030290.5319649485
50,1020647.8600032879
51,1005834.0107247167
52,1009199.4066519566
53,1015034.9536064172
54,1031689.5085025158
55,1030933.3430738518
56,1041175.3153268495
57,1060601.2700617777
58,1064717.4319421563
59,1062931.9437251713
60,1075064.0185332526
61,1085697.859245399
62,1093685.4452445593
63,1104855.9772629738
64,1109110.6468584668
65,1106026.8826301892
66,1108497.7287539474
67,1111712.5917430231
68,1104356.593354154
69,1104704.5845874057
70,1097866.8983490195
71,1104644.0471392067
72,1108415.4309721733
73,1107946.9606928437
74,1097854.4680897985
75,1105105.8807577651
76,1121896.8187255962
77,1130839.4318776566
78,1131242.4077635414
79,1134288.7012849886
80,1146925.2725113963
81,1159227.8069639618
82,1159431.6776901248
83,1161883.3975655984
84,1145757.4891838706
85,1139555.837113541
86,1134438.2512382271
87,1133137.7867569122
88,1142855.9683595963
89,1152351.5749941168
90,1146184.2379033102
91,1156800.9026888716
92,1144745.3262102634
93,1125903.846907337
94,1126560.979590467
95,1140831.7994586949
96,1148394.9131586726
97,1140705.2994338642
98,1117125.3129031758
99,1109147.1723384212
100,1116258.0690933154
101,1122672.401393734
102,1124432.986483625
103,1140199.663220875
104,1122511.648716902
105,1126491.9676031028
106,1114493.6570185514
107,1101629.3047008903
108,1105468.7391303265
109,1095288.5424048551
110,1095830.5095581166
111,1081785.3095927087
112,1071378.4968501264
113,1081946.1581902122
114,1062114.7170980887
115,1056407.488904746
116,1055261.6803151246
117,1056018.5010943036
118,1083914.3501462892
119,1074257.7709869426
120,1077759.7814477952
121,1064636.989748189
122,1074718.4469258639
123,1086336.8188055789
124,1093965.754212594
125,1107741.5318347914
126,1126637.4169930706
127,1140957.4753256233
128,1145805.4985040114
129,1158130.644753934
130,1149065.3510881918
131,1126927.1587577444
132,1113168.4927057403
133,1115135.6393540679
134,1098211.4487746754
135,1113270.0370938608
136,1097681.208745414
137,1123497.9430944484
138,1119991.1326449367
139,1126220.0344394266
140,1137633.2091791423
141,1132834.5955465664
142,1132472.0047949653
143,1104487.2779558557
144,1101379.3038059424
145,1102826.3518472645
146,1098764.9854415348
147,1064500.6286593312
148,1072819.2770538921
149,1012828.0356464006
150,1023152.2242832719
151,958445.2913009214
152,1001659.2903990078
153,960054.5048471536
154,992924.2000746899
155,999989.1082244123
156,1019609.7263495699
157,1001626.6898218788
158,996378.6519225766
159,942988.3924966304
160,930741.2504917558
161,932952.7270019271
162,975204.9875448522
163,987681.7783115928
164,973149.1114980731
165,999560.0274505473
166,1030879.7434491004
167,1040388.859679506
168,1042583.6497077651
169,1032163.2172951734
170,1013924.5446424435
171,1010928.9857052505
172,1038257.740090897
173,1030189.9877646498
174,1002732.0391197708
175,1016508.9406265658
176,1021872.193768513
177,1039215.4043013942
178,1044739.5536852651
179,1045249.8818796553
180,1043699.4300643859
181,1041282.4268877612
182,1020655.9937150689
183,985181.8310263698
184,995546.6574484298
185,1004576.4534511451
186,1011106.4179272943
187,990850.0622824035
188,979706.1893543348
189,947922.0348863469
190,915448.6893191062
191,931784.1669624079
192,946314.6924485478
193,970131.0838331365
194,966744.1238353091
195,997063.3222565039
196,1004339.8777503129
197,1008947.9767624263
198,1016809.2858398913
199,1034936.544764854
200,1021130.5880460757
201,1033772.2293598551
202,1015617.4504774528
203,1014178.2499426529
204,1041962.7248563987
205,1066604.3956767577
206,1041257.901727552
207,1040329.7018235495
208,1073813.2320748004
209,1067416.5190988672
210,1048247.268231457
211,1020526.9258775624
212,1034058.8925663171
213,1076732.0797857444
214,1082220.6082236625
215,1082698.4526694738
216,1110704.7715902384
217,1070847.1816367954
218,1071616.8664073003
219,1089777.3017045967
220,1083377.3718435112
221,1096078.112640422
222,1083746.9585464203
223,1061580.83193994
224,1050742.1624991351
225,1025582.9719460739
226,1023930.952335804
227,999870.3105214547
228,995689.2558734837
229,1027639.8976376572
230,1022653.5945613135
231,1064055.4990310594
232,1067547.6575408631
233,1067173.2968095383
234,1078301.7070621978
235,1079918.1529891507
236,1079369.7525215913
237,1057505.945398157
238,1072578.0677403577
239,1061569.561339164
240,1049343.926921768
241,1029516.9646937636
242,1030348.1524851999
243,1045507.9746952092
244,1033476.6503440135
245,1069673.488043119
246,1065218.7953519046
247,1077010.1613291383
248,1081756.8713738166
249,1083197.3608245938
250,1070674.5840148495
251,1078824.081153409
252,1072136.8172074205
253,1090115.4882960832
254,1087905.9050686583
255,1093661.8188792304
256,1089583.8275048377
257,1085236.2602074603
258,1099800.673690398
259,1096688.664049036
260,1101778.9859189366
261,1098798.2589948107
262,1111290.5807207196
263,1132950.8108336856
264,1142578.246659494
265,1129395.273803888
266,1126911.548546497
267,1131314.917708099
268,1136799.4724538391
269,1134996.67236725
270,1139503.1782837203
271,1131129.978959954
272,1137541.7155807866
273,1156299.967000939
274,1158164.9625884537
275,1175272.1194483142
276,1170153.041089403
277,1164764.848848033
278,1169522.2573646065
279,1173933.8901647732
280,1166814.4499634576
281,1187185.1770188736
282,1190760.1388865109
283,1192031.4319690662
284,1202278.5039524948
285,1205779.8952813938
286,1205467.4749687505
287,1209016.2647802327
288,1209206.1413378129
289,1211425.4911114918
290,1215592.0156740348
291,1235348.6521858128
292,1227658.204891095
293,1237000.3430717466
294,1237026.808679595
295,1228682.93780246
296,1207479.619318206
297,1219761.5827966272
298,1235500.013871329
299,1239274.0862265462
